ano,sigla_uf,id_municipio,populacao
2025,MG,3170206,761835
2024,MG,3170206,754954
2023,MG,3170206,713224
2022,MG,3170206,713224
2021,MG,3170206,706597
2020,MG,3170206,699097
2019,MG,3170206,691305
2018,MG,3170206,683247
2017,MG,3170206,676613
2016,MG,3170206,669672
2015,MG,3170206,662362
2014,MG,3170206,654681
2013,MG,3170206,646673
2012,MG,3170206,619536
2011,MG,3170206,611904
2010,MG,3170206,604013
2009,MG,3170206,634345
2008,MG,3170206,622441
2007,MG,3170206,608369
2006,MG,3170206,600368
2005,MG,3170206,585262
2004,MG,3170206,570042
2003,MG,3170206,542541
2002,MG,3170206,529441
2001,MG,3170206,516870
2000,MG,3170206,501214
1999,MG,3170206,487222
1998,MG,3170206,472083
1997,MG,3170206,456920
1996,MG,3170206,438986
1995,MG,3170206,407707
1994,MG,3170206,398216
1993,MG,3170206,388483
1992,MG,3170206,377933
1991,MG,3170206,367061
