ano,turno,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_municipio_tse,id_municipio_tse_nome,zona,cargo,aptos,secoes,secoes_agregadas,aptos_totalizadas,secoes_totalizadas,comparecimento,abstencoes,votos_validos,votos_brancos,votos_nulos,votos_nominais,votos_legenda,proporcao_comparecimento,proporcao_votos_validos,proporcao_votos_brancos,proporcao_votos_nulos
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,279,vereador,93588,268,6,93588,268,80110,13478,74964,2559,2587,68550,6414,85.598579,93.576332,3.1943579,3.2293098
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,279,prefeito,93588,268,6,93588,268,80110,13478,73009,1627,5474,73009,0,85.598579,91.135941,2.0309575,6.8331046
2004,2,200422,eleicao ordinaria,2004-10-31,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,279,prefeito,93588,268,6,93588,268,77875,15713,73436,994,3445,73436,0,83.210457,94.299843,1.2764045,4.4237561
2004,2,200422,eleicao ordinaria,2004-10-31,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,prefeito,100107,296,1,100107,296,85388,14719,81045,1036,3307,81045,0,85.29673,94.913803,1.2132852,3.8729095
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,prefeito,100107,296,1,100107,296,87323,12784,79979,1890,5454,79979,0,87.229668,91.589844,2.1643782,6.2457771
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,vereador,100107,296,1,100107,296,87323,12784,81912,2867,2544,74365,7547,87.229668,93.803467,3.2832129,2.9133217
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,314,vereador,72406,211,0,72406,211,62733,9673,59168,1864,1701,53598,5570,86.64061,94.317184,2.971323,2.7114916
2004,2,200422,eleicao ordinaria,2004-10-31,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,314,prefeito,72406,211,0,72406,211,61251,11155,58003,804,2444,58003,0,84.593819,94.697227,1.3126316,3.990139
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,314,prefeito,72406,211,0,72406,211,62733,9673,57406,1272,4055,57406,0,86.64061,91.508453,2.0276411,6.4639025
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,prefeito,92382,253,1,92382,253,79402,12980,72666,1598,5138,72666,0,85.949646,91.516586,2.0125437,6.4708695
2004,1,200412,eleicao ordinaria,2004-10-03,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,vereador,92382,253,1,92382,253,79402,12980,74459,2530,2413,67633,6826,85.949646,93.774719,3.1863177,3.0389662
2004,2,200422,eleicao ordinaria,2004-10-31,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,prefeito,92382,253,1,92382,253,77630,14752,73707,883,3040,73707,0,84.031525,94.946541,1.1374469,3.9160118
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,prefeito,82536,220,30,82536,220,70299,12237,65874,1277,3148,65874,0,85.173744,93.70546,1.8165265,4.4780154
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,prefeito,73107,220,1,73107,220,61247,11860,57504,1111,2632,57504,0,83.777206,93.88868,1.8139664,4.2973533
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,335,vereador,73107,220,1,73107,220,61247,11860,56730,2544,1973,50869,5861,83.777206,92.624947,4.1536727,3.2213824
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,278,vereador,82536,220,30,82536,220,70299,12237,64827,3063,2409,57880,6947,85.173744,92.216103,4.3571033,3.4267912
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,vereador,76568,225,1,76568,225,65763,10805,60676,2705,2382,54212,6464,85.888359,92.264648,4.113255,3.6220975
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,299,prefeito,76568,225,1,76568,225,65763,10805,61523,1241,2999,61523,0,85.888359,93.552605,1.8870794,4.5603151
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,314,vereador,78414,229,1,78414,229,67721,10693,63202,2564,1955,56587,6615,86.363403,93.327034,3.7861226,2.8868446
2008,1,30,eleicao ordinaria,2008-10-05,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,314,prefeito,78414,229,1,78414,229,67721,10693,63521,1240,2960,63521,0,86.363403,93.79808,1.8310421,4.3708744
