ano,turno,id_eleicao,tipo_eleicao,data_eleicao,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,id_municipio_tse,id_municipio_tse_nome,cargo,numero,sigla,nome,tipo_agremiacao,sequencial_coligacao,nome_coligacao,composicao_coligacao,numero_federacao,sigla_federacao,composicao_federacao,situacao_legenda
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,22,PL,PARTIDO LIBERAL,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,43,PV,PARTIDO VERDE,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,26,PAN,PARTIDO DOS APOSENTADOS DA NAÇÃO,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,11,PPB,PARTIDO PROGRESSISTA BRASILEIRO,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,23,PPS,PARTIDO POPULAR SOCIALISTA,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,36,PRN,PARTIDO DA RECONSTRUÇÃO NACIONAL,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,partido isolado,,,,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,20,PSC,PARTIDO SOCIAL CRISTÃO,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,18,PST,PARTIDO SOCIAL TRABALHISTA,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,19,PTN,PARTIDO TRABALHISTA NACIONAL,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,partido isolado,,,,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,15,PMDB,PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,coligacao,1,UBERLÂNDIA DE CARA NOVA,PPB / PSDC / PSDB / PTB / PDT / PTN / PRTB / PRN / PSC ,,,,
2000,2,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,65,PC do B,PARTIDO COMUNISTA DO BRASIL,coligacao,5,AGORA É ZAIRE,PMDB / PSB / PC do B / PPS / PL / PV / PAN / PST ,,,,
2000,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,70,PT do B,PARTIDO TRABALHISTA DO BRASIL,partido isolado,,,,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,31,PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE,partido isolado,,,31 - PHS,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,40,PSB,PARTIDO SOCIALISTA BRASILEIRO,partido isolado,,,40 - PSB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,partido isolado,,,16 - PSTU,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vice-prefeito,16,PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO,partido isolado,,,16 - PSTU,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vice-prefeito,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,partido isolado,,,28 - PRTB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,partido isolado,,,28 - PRTB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,28,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,partido isolado,,,28 - PRTB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,partido isolado,,,50 - PSOL,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vice-prefeito,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,partido isolado,,,50 - PSOL,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,prefeito,50,PSOL,PARTIDO SOCIALISMO E LIBERDADE,partido isolado,,,50 - PSOL,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,12,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,coligacao,4921,UBERLÂNDIA QUER MAIS,12-PDT / 33-PMN,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,33,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,coligacao,4921,UBERLÂNDIA QUER MAIS,12-PDT / 33-PMN,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,14,PTB,PARTIDO TRABALHISTA BRASILEIRO,coligacao,4757,UBERLÂNDIA MAIS FORTE,14-PTB / 20-PSC,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,20,PSC,PARTIDO SOCIAL CRISTÃO,coligacao,4757,UBERLÂNDIA MAIS FORTE,14-PTB / 20-PSC,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,23,PPS,PARTIDO POPULAR SOCIALISTA,coligacao,4813,VOZ DO POVO,19-PTN / 23-PPS,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,19,PTN,PARTIDO TRABALHISTA NACIONAL,coligacao,4813,VOZ DO POVO,19-PTN / 23-PPS,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,22,PR,PARTIDO DA REPÚBLICA,coligacao,3673,CIDADE UNIDA,22-PR / 45-PSDB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,45,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,coligacao,3673,CIDADE UNIDA,22-PR / 45-PSDB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,10,PRB,PARTIDO REPUBLICANO BRASILEIRO,coligacao,2964,UBERLANDIA - PRA SEGUIR EM FRENTE,11-PP / 27-PSDC / 10-PRB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,11,PP,PARTIDO PROGRESSISTA,coligacao,2964,UBERLANDIA - PRA SEGUIR EM FRENTE,11-PP / 27-PSDC / 10-PRB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,27,PSDC,PARTIDO SOCIAL DEMOCRATA CRISTÃO,coligacao,2964,UBERLANDIA - PRA SEGUIR EM FRENTE,11-PP / 27-PSDC / 10-PRB,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,17,PSL,PARTIDO SOCIAL LIBERAL,coligacao,4035,UBERLÂNDIA É DE TODOS,25-DEM / 17-PSL / 36-PTC,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,36,PTC,PARTIDO TRABALHISTA CRISTÃO,coligacao,4035,UBERLÂNDIA É DE TODOS,25-DEM / 17-PSL / 36-PTC,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,25,DEM,DEMOCRATAS,coligacao,4035,UBERLÂNDIA É DE TODOS,25-DEM / 17-PSL / 36-PTC,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,70,PT do B,PARTIDO TRABALHISTA DO BRASIL,coligacao,4907,UBERLÂNDIA MAIS VERDE,44-PRP / 43-PV / 70-PT do B,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,44,PRP,PARTIDO REPUBLICANO PROGRESSISTA,coligacao,4907,UBERLÂNDIA MAIS VERDE,44-PRP / 43-PV / 70-PT do B,,,,
2008,1,,eleicao ordinaria,,MG,Minas Gerais,3170206,Uberlândia,54038,Uberlândia,vereador,43,PV,PARTIDO VERDE,coligacao,4907,UBERLÂNDIA MAIS VERDE,44-PRP / 43-PV / 70-PT do B,,,,
