ano,id_municipio,grupo_idade,sexo,cor_raca,populacao
2022,3170206,0 a 4 anos,Homens,Parda,8554
2022,3170206,0 a 4 anos,Homens,Preta,1519
2022,3170206,5 a 9 anos,Homens,Branca,10831
2022,3170206,5 a 9 anos,Homens,Preta,1917
2022,3170206,10 a 14 anos,Homens,Amarela,55
2022,3170206,20 a 24 anos,Homens,Amarela,52
2022,3170206,25 a 29 anos,Homens,Branca,12834
2022,3170206,30 a 34 anos,Mulheres,Indígena,28
2022,3170206,30 a 34 anos,Homens,Branca,12874
2022,3170206,30 a 34 anos,Mulheres,Amarela,78
2022,3170206,30 a 34 anos,Homens,Amarela,80
2022,3170206,30 a 34 anos,Homens,Parda,12384
2022,3170206,40 a 44 anos,Homens,Amarela,85
2022,3170206,40 a 44 anos,Homens,Parda,11396
2022,3170206,40 a 44 anos,Mulheres,Branca,15015
2022,3170206,40 a 44 anos,Mulheres,Parda,11727
2022,3170206,45 a 49 anos,Mulheres,Parda,9952
2022,3170206,55 a 59 anos,Mulheres,Indígena,20
2022,3170206,55 a 59 anos,Mulheres,Branca,12057
2022,3170206,55 a 59 anos,Mulheres,Preta,2337
2022,3170206,60 a 64 anos,Mulheres,Amarela,53
2022,3170206,60 a 64 anos,Homens,Branca,8565
2022,3170206,60 a 64 anos,Mulheres,Preta,2003
2022,3170206,65 a 69 anos,Mulheres,Preta,1536
2022,3170206,65 a 69 anos,Homens,Branca,6660
2022,3170206,65 a 69 anos,Mulheres,Branca,8602
2022,3170206,65 a 69 anos,Homens,Preta,1205
2022,3170206,70 a 74 anos,Mulheres,Branca,6427
2022,3170206,75 a 79 anos,Mulheres,Branca,4423
2022,3170206,75 a 79 anos,Mulheres,Preta,606
2022,3170206,80 a 84 anos,Mulheres,Branca,3164
2022,3170206,80 a 84 anos,Homens,Branca,1910
2022,3170206,85 a 89 anos,Mulheres,Branca,1862
2022,3170206,85 a 89 anos,Homens,Branca,954
2022,3170206,90 a 94 anos,Homens,Amarela,
2022,3170206,90 a 94 anos,Homens,Indígena,
2022,3170206,90 a 94 anos,Homens,Preta,50
2022,3170206,95 a 99 anos,Homens,Amarela,
2022,3170206,100 anos ou mais,Mulheres,Amarela,1
2022,3170206,100 anos ou mais,Homens,Preta,4
2022,3170206,100 anos ou mais,Mulheres,Parda,8
2022,3170206,0 a 4 anos,Homens,Branca,10909
2022,3170206,5 a 9 anos,Mulheres,Indígena,18
2022,3170206,5 a 9 anos,Homens,Amarela,40
2022,3170206,5 a 9 anos,Mulheres,Parda,9922
2022,3170206,10 a 14 anos,Mulheres,Branca,9792
2022,3170206,10 a 14 anos,Mulheres,Preta,1901
2022,3170206,10 a 14 anos,Mulheres,Parda,9615
2022,3170206,15 a 19 anos,Homens,Indígena,12
2022,3170206,15 a 19 anos,Homens,Amarela,46
2022,3170206,15 a 19 anos,Homens,Preta,2866
2022,3170206,15 a 19 anos,Mulheres,Preta,2438
2022,3170206,15 a 19 anos,Homens,Parda,10441
2022,3170206,15 a 19 anos,Mulheres,Branca,10718
2022,3170206,20 a 24 anos,Homens,Parda,12296
